key,tipo,id,produto,reg,ano,quantidade
1-1,VINHO DE MESA,1,VINHO DE MESA,SINTETICO,1970,217208604
1-2,VINHO DE MESA,2,Tinto,ANALITICO,1970,174224052
1-3,VINHO DE MESA,3,Branco,ANALITICO,1970,748400
1-4,VINHO DE MESA,4,Rosado,ANALITICO,1970,42236152
5-5,VINHO FINO DE MESA (VINÍFERA),5,VINHO FINO DE MESA (VINÍFERA),SINTETICO,1970,23899346
5-6,VINHO FINO DE MESA (VINÍFERA),6,Tinto,ANALITICO,1970,7591557
5-7,VINHO FINO DE MESA (VINÍFERA),7,Branco,ANALITICO,1970,15562889
5-8,VINHO FINO DE MESA (VINÍFERA),8,Rosado,ANALITICO,1970,744900
9-9,SUCO,9,SUCO,SINTETICO,1970,1097771
9-10,SUCO,10,Suco de uva integral,ANALITICO,1970,1097771
9-11,SUCO,11,Suco de uva concentrado,ANALITICO,1970,0
9-12,SUCO,12,Suco de uva adoçado,ANALITICO,1970,0
9-13,SUCO,13,Suco de uva orgânico,ANALITICO,1970,0
9-14,SUCO,14,Suco de uva reconstituído,ANALITICO,1970,0
15-15,DERIVADOS,15,DERIVADOS,SINTETICO,1970,14164329
15-16,DERIVADOS,16,Espumante,ANALITICO,1970,0
15-17,DERIVADOS,17,Espumante moscatel,ANALITICO,1970,0
15-18,DERIVADOS,18,Base espumante,ANALITICO,1970,0
15-19,DERIVADOS,19,Base espumante moscatel,ANALITICO,1970,0
15-20,DERIVADOS,20,Base Champenoise champanha,ANALITICO,1970,0
15-21,DERIVADOS,21,Base Charmat champanha,ANALITICO,1970,0
15-22,DERIVADOS,22,Bebida de uva,ANALITICO,1970,0
15-23,DERIVADOS,23,Polpa de uva,ANALITICO,1970,0
15-24,DERIVADOS,24,Mosto simples,ANALITICO,1970,7170736
15-25,DERIVADOS,25,Mosto concentrado,ANALITICO,1970,0
15-26,DERIVADOS,26,Mosto de uva com bagaço,ANALITICO,1970,0
15-27,DERIVADOS,27,Mosto dessulfitado,ANALITICO,1970,0
15-28,DERIVADOS,28,Mistelas,ANALITICO,1970,1072100
15-29,DERIVADOS,29,Néctar de uva,ANALITICO,1970,0
15-30,DERIVADOS,30,Licorosos,ANALITICO,1970,282500
15-31,DERIVADOS,31,Compostos,ANALITICO,1970,0
15-32,DERIVADOS,32,Jeropiga,ANALITICO,1970,0
15-33,DERIVADOS,33,Filtrado,ANALITICO,1970,0
15-34,DERIVADOS,34,Frisante,ANALITICO,1970,0
15-35,DERIVADOS,35,Vinho leve,ANALITICO,1970,0
15-36,DERIVADOS,36,Vinho licoroso,ANALITICO,1970,0
15-37,DERIVADOS,37,Brandy,ANALITICO,1970,0
15-38,DERIVADOS,38,Destilado,ANALITICO,1970,830030
15-39,DERIVADOS,39,Bagaceira,ANALITICO,1970,961290
15-40,DERIVADOS,40,Licor de bagaceira,ANALITICO,1970,0
15-41,DERIVADOS,41,Vinagre,ANALITICO,1970,0
15-42,DERIVADOS,42,Borra líquida,ANALITICO,1970,3847673
15-43,DERIVADOS,43,Borra seca,ANALITICO,1970,0
15-44,DERIVADOS,44,Vinho Composto,ANALITICO,1970,0
15-45,DERIVADOS,45,Pisco,ANALITICO,1970,0
15-46,DERIVADOS,46,Vinho orgânico,ANALITICO,1970,0
15-47,DERIVADOS,47,Espumante orgânico,ANALITICO,1970,0
